id,city_id,name,url_name,color,system_id,transport_mode_id
43,4,Línea 2,43-linea-2,#ffbe2e,267,4
75,34,Línea 3 Metro de Caracas,75-linea-3-metro-de-caracas,#000,119,
107,126,Línea 1,107-linea-1,#434343,249,
604,74,La navette,604-la-navette,#009ab9,346,
61,66,Línea 1 (Tramo 1A),61-linea-1,#49aa43,250,
1471,91,Tokaido Shinkansen,1471-tokaido-shinkansen,#0000ff,551,1
5,1,A,a,#00b3da,254,4
168,261,Línea 1,168-linea-1,#f58223,256,
219,110,14,219-red-line,#d0021b,257,4
45,4,Línea 4,45-linea-4,#292d91,267,4
40,4,Línea 4A,40-linea-4a,#0099ff,267,4
46,4,Línea 5,46-linea-5,#006633,267,4
60,4,Línea 6,60-linea-6,#8e16a1,267,4
70,4,MetroTren Nos,70-nos-express,#000000,268,3
223,110,12,223-nockebybanan,#385369,476,5
227,79,M1,227-m1,#ee2e24,67,4
217,4,Ramal San Felipe - Putaendo,217-ramal-san-felipe---putaendo,#000,276,2
225,79,M5,225-m5,#b17aea,67,4
141,21,Troncal C - Suba,141-g30,#f3d135,253,
610,118,22A,610-22a,#4a90e2,347,
42,4,Línea 1 ,42-linea-1-,#cc0000,267,4
62,66,Línea 2 (Tramo 1A),62-linea-2,#ffbc2d,250,
72,4,FFCC Llano del Maipo,72-ffcc-llanos-del-maipo,#f8e71c,478,9
73,4,FFCC Yungay-Barrancas,73-ffcc-yungay---barranas,#f8e71c,478,9
221,4,FFCC Red Sur,221-ffcc-red-sur,#000,276,2
200,4,FFCC Santiago - Valparaiso,200-ffcc-santiago---valparaiso,#000,276,2
158,4,FFCC de Circunvalación,158-ffcc-de-circunvalacion,#000,276,2
133,107,Jinshan Line,133-jinshan-line,#666666,282,
134,107,Maglev,134-maglev,#009090,282,
147,107,Route 71 Yan'an eBRT,147-route-71-yan'an-ebrt,#b8e986,282,
148,107,Songjiang T1,148-songjiang-t1,#f5a623,282,
149,107,Songjiang T2,149-songjiang-t2,#8b572a,282,
150,107,Zhangjiang Tram,150-zhangjiang-tram,#d0021b,282,
6,1,B,b,#f43e3c,254,4
7,1,C,c,#0071ae,254,4
8,1,D,d,#00826d,254,4
10,1,H,h,#ffcf47,254,4
170,78,Tren interurbano México - Toluca,170-tren-interurbano-mexico---toluca,#000,272,2
11,1,Premetro,p,#feb152,254,5
